ref,line,digit,segment,x,y,rotation
D262,4,0,d2,106.535,10.665,90
D261,4,0,d1,109.71,10.665,0
D263,4,0,e,104.9475,12.2525,90
D272,4,0,m,106.535,12.2525,90
D271,4,0,l,108.1225,12.2525,90
D270,4,0,k,109.71,12.2525,90
D260,4,0,c,111.2975,12.2525,90
D265,4,0,g1,106.535,13.84,180
D266,4,0,g2,109.71,13.84,0
D264,4,0,f,104.9475,15.4275,90
D267,4,0,h,106.535,15.4275,90
D268,4,0,i,108.1225,15.4275,90
D269,4,0,j,109.71,15.4275,90
D259,4,0,b,111.2975,15.4275,90
D257,4,0,a1,106.535,17.015,180
D258,4,0,a2,109.71,17.015,0
D151,3,0,e,104.9475,32.5725,90
D152,3,0,f,104.9475,35.7475,90
D150,3,0,d2,106.535,30.985,180
D160,3,0,m,106.535,32.5725,90
D153,3,0,g1,106.535,34.16,180
D155,3,0,h,106.535,35.7475,90
D145,3,0,a1,106.535,37.335,180
D159,3,0,l,108.1225,32.5725,90
D156,3,0,i,108.1225,35.7475,90
D149,3,0,d1,109.71,30.985,0
D158,3,0,k,109.71,32.5725,90
D154,3,0,g2,109.71,34.16,0
D157,3,0,j,109.71,35.7475,90
D146,3,0,a2,109.71,37.335,0
D148,3,0,c,111.2975,32.5725,90
D147,3,0,b,111.2975,35.7475,90
D135,2,0,e,104.9475,52.8925,90
D136,2,0,f,104.9475,56.0675,90
D134,2,0,d2,106.535,51.305,180
D144,2,0,m,106.535,52.8925,90
D137,2,0,g1,106.535,54.48,180
D139,2,0,h,106.535,56.0675,90
D129,2,0,a1,106.535,57.655,180
D143,2,0,l,108.1225,52.8925,90
D140,2,0,i,108.1225,56.0675,90
D133,2,0,d1,109.71,51.305,0
D142,2,0,k,109.71,52.8925,90
D138,2,0,g2,109.71,54.48,0
D141,2,0,j,109.71,56.0675,90
D130,2,0,a2,109.71,57.655,0
D132,2,0,c,111.2975,52.8925,90
D131,2,0,b,111.2975,56.0675,90
D23,1,0,e,104.9475,73.2125,90
D24,1,0,f,104.9475,76.3875,90
D22,1,0,d2,106.535,71.625,180
D32,1,0,m,106.535,73.2125,90
D25,1,0,g1,106.535,74.8,180
D27,1,0,h,106.535,76.3875,90
D17,1,0,a1,106.535,77.975,180
D31,1,0,l,108.1225,73.2125,90
D28,1,0,i,108.1225,76.3875,90
D21,1,0,d1,109.71,71.625,0
D30,1,0,k,109.71,73.2125,90
D26,1,0,g2,109.71,74.8,0
D29,1,0,j,109.71,76.3875,90
D18,1,0,a2,109.71,77.975,0
D20,1,0,c,111.2975,73.2125,90
D19,1,0,b,111.2975,76.3875,90
D6,0,0,d2,106.535,91.945,180
D5,0,0,d1,109.71,91.945,0
D7,0,0,e,104.9475,93.5325,90
D16,0,0,m,106.535,93.5325,90
D15,0,0,l,108.1225,93.5325,90
D14,0,0,k,109.71,93.5325,90
D4,0,0,c,111.2975,93.5325,90
D9,0,0,g1,106.535,95.12,180
D10,0,0,g2,109.71,95.12,0
D8,0,0,f,104.9475,96.7075,90
D11,0,0,h,106.535,96.7075,90
D12,0,0,i,108.1225,96.7075,90
D13,0,0,j,109.71,96.7075,90
D3,0,0,b,111.2975,96.7075,90
D1,0,0,a1,106.535,98.295,180
D2,0,0,a2,109.71,98.295,0
D38,0,1,d2,116.695,91.945,180
D37,0,1,d1,119.87,91.945,0
D39,0,1,e,115.1075,93.5325,90
D294,4,1,d2,116.695,10.665,180
D293,4,1,d1,119.87,10.665,0
D295,4,1,e,115.1075,12.2525,90
D304,4,1,m,116.695,12.2525,90
D303,4,1,l,118.2825,12.2525,90
D302,4,1,k,119.87,12.2525,90
D292,4,1,c,121.4575,12.2525,90
D297,4,1,g1,116.695,13.84,180
D298,4,1,g2,119.87,13.84,0
D296,4,1,f,115.1075,15.4275,90
D299,4,1,h,116.695,15.4275,90
D300,4,1,i,118.2825,15.4275,90
D301,4,1,j,119.87,15.4275,90
D291,4,1,b,121.4575,15.4275,90
D289,4,1,a1,116.695,17.015,180
D290,4,1,a2,119.87,17.015,0
D183,3,1,e,115.1075,32.5725,90
D184,3,1,f,115.1075,35.7475,90
D182,3,1,d2,116.695,30.985,180
D192,3,1,m,116.695,32.5725,90
D185,3,1,g1,116.695,34.16,180
D187,3,1,h,116.695,35.7475,90
D177,3,1,a1,116.695,37.335,180
D191,3,1,l,118.2825,32.5725,90
D188,3,1,i,118.2825,35.7475,90
D181,3,1,d1,119.87,30.985,0
D190,3,1,k,119.87,32.5725,90
D186,3,1,g2,119.87,34.16,0
D189,3,1,j,119.87,35.7475,90
D178,3,1,a2,119.87,37.335,0
D180,3,1,c,121.4575,32.5725,90
D179,3,1,b,121.4575,35.7475,90
D167,2,1,e,115.1075,52.8925,90
D168,2,1,f,115.1075,56.0675,90
D166,2,1,d2,116.695,51.305,180
D176,2,1,m,116.695,52.8925,90
D169,2,1,g1,116.695,54.48,180
D171,2,1,h,116.695,56.0675,90
D161,2,1,a1,116.695,57.655,180
D175,2,1,l,118.2825,52.8925,90
D172,2,1,i,118.2825,56.0675,90
D165,2,1,d1,119.87,51.305,0
D174,2,1,k,119.87,52.8925,90
D170,2,1,g2,119.87,54.48,0
D173,2,1,j,119.87,56.0675,90
D162,2,1,a2,119.87,57.655,0
D164,2,1,c,121.4575,52.8925,90
D163,2,1,b,121.4575,56.0675,90
D55,1,1,e,115.1075,73.2125,90
D56,1,1,f,115.1075,76.3875,90
D54,1,1,d2,116.695,71.625,180
D64,1,1,m,116.695,73.2125,90
D57,1,1,g1,116.695,74.8,180
D59,1,1,h,116.695,76.3875,90
D49,1,1,a1,116.695,77.975,180
D63,1,1,l,118.2825,73.2125,90
D60,1,1,i,118.2825,76.3875,90
D53,1,1,d1,119.87,71.625,0
D62,1,1,k,119.87,73.2125,90
D58,1,1,g2,119.87,74.8,0
D61,1,1,j,119.87,76.3875,90
D50,1,1,a2,119.87,77.975,0
D52,1,1,c,121.4575,73.2125,90
D51,1,1,b,121.4575,76.3875,90
D48,0,1,m,116.695,93.5325,90
D47,0,1,l,118.2825,93.5325,90
D46,0,1,k,119.87,93.5325,90
D36,0,1,c,121.4575,93.5325,90
D41,0,1,g1,116.695,95.12,180
D42,0,1,g2,119.87,95.12,0
D40,0,1,f,115.1075,96.7075,90
D43,0,1,h,116.695,96.7075,90
D44,0,1,i,118.2825,96.7075,90
D45,0,1,j,119.87,96.7075,90
D35,0,1,b,121.4575,96.7075,90
D33,0,1,a1,116.695,98.295,180
D34,0,1,a2,119.87,98.295,0
D70,0,2,d2,126.855,91.945,180
D69,0,2,d1,130.03,91.945,0
D71,0,2,e,125.2675,93.5325,90
D80,0,2,m,126.855,93.5325,90
D79,0,2,l,128.4425,93.5325,90
D78,0,2,k,130.03,93.5325,90
D68,0,2,c,131.6175,93.5325,90
D73,0,2,g1,126.855,95.12,180
D326,4,2,d2,126.855,10.665,180
D325,4,2,d1,130.03,10.665,0
D327,4,2,e,125.2675,12.2525,90
D336,4,2,m,126.855,12.2525,90
D335,4,2,l,128.4425,12.2525,90
D334,4,2,k,130.03,12.2525,90
D324,4,2,c,131.6175,12.2525,90
D329,4,2,g1,126.855,13.84,180
D330,4,2,g2,130.03,13.84,0
D328,4,2,f,125.2675,15.4275,90
D331,4,2,h,126.855,15.4275,90
D332,4,2,i,128.4425,15.4275,90
D333,4,2,j,130.03,15.4275,90
D323,4,2,b,131.6175,15.4275,90
D321,4,2,a1,126.855,17.015,180
D322,4,2,a2,130.03,17.015,0
D215,3,2,e,125.2675,32.5725,90
D216,3,2,f,125.2675,35.7475,90
D214,3,2,d2,126.855,30.985,180
D224,3,2,m,126.855,32.5725,90
D217,3,2,g1,126.855,34.16,180
D219,3,2,h,126.855,35.7475,90
D209,3,2,a1,126.855,37.335,180
D223,3,2,l,128.4425,32.5725,90
D220,3,2,i,128.4425,35.7475,90
D213,3,2,d1,130.03,30.985,0
D222,3,2,k,130.03,32.5725,90
D218,3,2,g2,130.03,34.16,0
D221,3,2,j,130.03,35.7475,90
D210,3,2,a2,130.03,37.335,0
D212,3,2,c,131.6175,32.5725,90
D211,3,2,b,131.6175,35.7475,90
D199,2,2,e,125.2675,52.8925,90
D200,2,2,f,125.2675,56.0675,90
D198,2,2,d2,126.855,51.305,180
D208,2,2,m,126.855,52.8925,90
D201,2,2,g1,126.855,54.48,180
D203,2,2,h,126.855,56.0675,90
D193,2,2,a1,126.855,57.655,180
D207,2,2,l,128.4425,52.8925,90
D204,2,2,i,128.4425,56.0675,90
D197,2,2,d1,130.03,51.305,0
D206,2,2,k,130.03,52.8925,90
D202,2,2,g2,130.03,54.48,0
D205,2,2,j,130.03,56.0675,90
D194,2,2,a2,130.03,57.655,0
D196,2,2,c,131.6175,52.8925,90
D195,2,2,b,131.6175,56.0675,90
D87,1,2,e,125.2675,73.2125,90
D88,1,2,f,125.2675,76.3875,90
D86,1,2,d2,126.855,71.625,180
D96,1,2,m,126.855,73.2125,90
D89,1,2,g1,126.855,74.8,180
D91,1,2,h,126.855,76.3875,90
D81,1,2,a1,126.855,77.975,180
D95,1,2,l,128.4425,73.2125,90
D92,1,2,i,128.4425,76.3875,90
D85,1,2,d1,130.03,71.625,0
D94,1,2,k,130.03,73.2125,90
D90,1,2,g2,130.03,74.8,0
D93,1,2,j,130.03,76.3875,90
D82,1,2,a2,130.03,77.975,0
D84,1,2,c,131.6175,73.2125,90
D83,1,2,b,131.6175,76.3875,90
D74,0,2,g2,130.03,95.12,0
D72,0,2,f,125.2675,96.7075,90
D75,0,2,h,126.855,96.7075,90
D76,0,2,i,128.4425,96.7075,90
D77,0,2,j,130.03,96.7075,90
D67,0,2,b,131.6175,96.7075,90
D65,0,2,a1,126.855,98.295,180
D66,0,2,a2,130.03,98.295,0
D102,0,3,d2,137.015,91.945,180
D101,0,3,d1,140.19,91.945,0
D103,0,3,e,135.4275,93.5325,90
D112,0,3,m,137.015,93.5325,90
D111,0,3,l,138.6025,93.5325,90
D110,0,3,k,140.19,93.5325,90
D100,0,3,c,141.7775,93.5325,90
D105,0,3,g1,137.015,95.12,180
D106,0,3,g2,140.19,95.12,0
D104,0,3,f,135.4275,96.7075,90
D342,4,3,d2,137.015,10.665,180
D341,4,3,d1,140.19,10.665,0
D343,4,3,e,135.4275,12.2525,90
D352,4,3,m,137.015,12.2525,90
D351,4,3,l,138.6025,12.2525,90
D350,4,3,k,140.19,12.2525,90
D340,4,3,c,141.7775,12.2525,90
D345,4,3,g1,137.015,13.84,180
D346,4,3,g2,140.19,13.84,0
D344,4,3,f,135.4275,15.4275,90
D347,4,3,h,137.015,15.4275,90
